date,type,name,quantity,value
01/10/2015,S,d0,0.01,-20000.00
14/10/2015,S,d0,0.016102,-20000.00
01/11/2015,S,d0,0.01,-20000.00
22/11/2015,S,d0,0.013605,-20000.00
25/11/2015,S,d0,0.0131775,-20000.00
01/12/2015,S,a0,0,2.40
01/12/2015,S,d0,0.01,-20000.00
01/01/2016,S,d0,0.01,-20000.00
23/01/2016,S,d0,0.011532500000000001,-20000.00
27/01/2016,S,a1,0,2.77
30/01/2016,S,d0,0.009489000000000001,-20000.00
01/02/2016,S,d0,0.01,-20000.00
14/02/2016,S,d0,0.012706499999999999,-20000.00
01/03/2016,S,d0,0.01,-20000.00
01/04/2016,S,d0,0.01,-20000.00
09/04/2016,S,d0,0.0090795,-20000.00
19/04/2016,S,a2,0,4.88
01/05/2016,S,d0,0.01,-20000.00
01/06/2016,S,d0,0.01,-20000.00
01/07/2016,S,d0,0.01,-20000.00
15/07/2016,S,d0,0.0103325,-20000.00
01/08/2016,S,d0,0.01,-20000.00
01/09/2016,S,d0,0.01,-20000.00
13/09/2016,S,d0,0.009551,-20000.00
01/10/2016,S,d0,0.01,-20000.00
08/10/2016,S,d0,0.014388499999999999,-20000.00
31/10/2016,S,a0,0,1.46
01/11/2016,S,d0,0.01,-20000.00
12/11/2016,S,d0,0.0128565,-20000.00
15/11/2016,S,d0,0.007458,-20000.00
19/11/2016,S,d0,0.0146835,-20000.00
01/12/2016,S,d0,0.01,-20000.00
01/01/2017,S,d0,0.01,-20000.00
05/01/2017,S,d0,0.015068999999999999,-20000.00
01/02/2017,S,d0,0.01,-20000.00
23/02/2017,S,a0,0,0.59
27/02/2017,S,a0,0,0.65
01/03/2017,S,d0,0.01,-20000.00
18/03/2017,S,d0,0.0158065,-20000.00
01/04/2017,S,d0,0.01,-20000.00
01/05/2017,S,d0,0.01,-20000.00
15/05/2017,S,d0,0.009048,-20000.00
01/06/2017,S,d0,0.01,-20000.00
01/07/2017,S,d0,0.009959499999999602,-20000.00
30/07/2017,B,a1,73.95366396963847,3.84
01/08/2017,S,d0,0.0,-20000.00
13/08/2017,B,a2,50.46650485042637,5.06
01/09/2017,S,d0,0.0,-20000.00
04/09/2017,B,a0,736.6561209522926,0.46
01/10/2017,S,d0,0.0,-20000.00
01/11/2017,S,d0,0.0,-20000.00
11/11/2017,B,a1,50.41972410997948,4.53
01/12/2017,S,d0,0.0,-20000.00
01/01/2018,S,d0,0.0,-20000.00
09/01/2018,B,a2,53.77170032296553,5.31
01/02/2018,S,d0,0.0,-20000.00
01/03/2018,S,d0,0.0,-20000.00
28/03/2018,S,a0,736.6561209522926,0.19
01/04/2018,S,d0,0.0,-20000.00
01/05/2018,S,d0,0.0,-20000.00
23/05/2018,B,a2,43.061593973697676,5.00
31/05/2018,B,a0,581.0763529069744,0.37
01/06/2018,S,d0,0.0,-20000.00
17/06/2018,B,a0,239.3583028866612,0.63
01/07/2018,S,d0,0.0,-20000.00
06/07/2018,S,a1,61.699927505457204,4.40
01/08/2018,S,d0,0.0,-20000.00
28/08/2018,B,a0,274.9050306173188,0.85
01/09/2018,S,d0,0.0,-20000.00
07/09/2018,B,a1,47.76344994829316,4.76
14/09/2018,S,a0,172.79390651325485,1.02
01/10/2018,S,d0,0.0,-20000.00
15/10/2018,B,a2,41.63119174030171,4.85
01/11/2018,S,d0,0.0,-20000.00
01/12/2018,B,a2,46.84021453254573,4.62
01/12/2018,S,d0,0.0,-20000.00
04/12/2018,B,a1,50.196858664783754,4.67
18/12/2018,B,a2,34.37945984756102,4.65
01/01/2019,B,a2,44.47006253773196,4.79
01/01/2019,S,d0,0.0,-20000.00
02/01/2019,B,a2,43.42930590861579,4.80
05/01/2019,S,a2,38.89429835988543,4.70
07/01/2019,B,a1,39.497698173470816,4.84
23/01/2019,B,a1,40.53360178931098,5.07
30/01/2019,B,a0,55.8273209059047,1.35
01/02/2019,S,d0,0.0,-20000.00
10/02/2019,S,a1,39.033715916662885,5.02
22/02/2019,B,a0,180.33398085499255,1.12
01/03/2019,S,d0,0.0,-20000.00
01/04/2019,S,d0,0.0,-20000.00
08/04/2019,S,a1,48.424098950670235,4.83
21/04/2019,B,a0,119.51433571600761,1.49
22/04/2019,B,a0,116.67278123026396,1.47
01/05/2019,S,d0,0.0,-20000.00
01/06/2019,S,d0,0.0,-20000.00
12/06/2019,B,a2,49.14354023325495,4.71
21/06/2019,B,a1,42.697992381774654,4.98
21/06/2019,B,a2,47.49544722189408,4.93
24/06/2019,B,a2,64.46307347890746,4.88
01/07/2019,S,d0,0.0,-20000.00
12/07/2019,B,a0,151.99430321684156,1.76
20/07/2019,B,a0,166.92281716620622,1.58
01/08/2019,S,d0,0.0,-20000.00
12/08/2019,B,a2,37.262542507415326,4.53
19/08/2019,S,a0,168.22482482964858,1.40
20/08/2019,B,a1,42.13281198578835,5.40
01/09/2019,S,d0,0.0,-20000.00
04/09/2019,B,a2,56.57896985370213,4.30
21/09/2019,B,a0,105.30705171371666,1.42
01/10/2019,S,d0,0.0,-20000.00
01/11/2019,S,d0,0.0,-20000.00
03/11/2019,B,a1,40.7240905484957,5.31
01/12/2019,S,d0,0.0,-20000.00
01/01/2020,S,d0,0.0,-20000.00
01/02/2020,S,d0,0.0,-20000.00
18/02/2020,B,a2,55.19257775085928,4.72
01/03/2020,S,d0,0.0,-20000.00
04/03/2020,B,a0,198.19863425328586,1.25
01/04/2020,S,d0,0.0,-20000.00
27/04/2020,B,a1,45.53064776352006,5.46
01/05/2020,S,d0,0.0,-20000.00
09/05/2020,B,a1,60.2683505225611,5.30
24/05/2020,B,a0,232.69370575280627,1.30
01/06/2020,S,d0,0.0,-20000.00
16/06/2020,B,a2,57.83734735888006,5.49
29/06/2020,B,a1,36.54491930966072,5.29
01/07/2020,S,d0,0.0,-20000.00
01/08/2020,S,d0,0.0,-20000.00
01/09/2020,S,d0,0.0,-20000.00
01/10/2020,S,d0,0.0,-20000.00
01/11/2020,S,d0,0.0,-20000.00
09/11/2020,S,a1,52.84322586232013,5.58
20/11/2020,B,a0,260.902914950052,0.76
01/12/2020,S,d0,0.0,-20000.00
01/01/2021,S,d0,0.0,-20000.00
01/02/2021,S,d0,0.0,-20000.00
01/03/2021,S,d0,0.0,-20000.00
01/04/2021,S,d0,0.0,-20000.00
14/04/2021,S,a0,110.33003507169691,1.34
27/04/2021,B,a0,156.2493984494894,1.49
01/05/2021,S,d0,0.0,-20000.00
01/06/2021,S,d0,0.0,-20000.00
06/06/2021,B,a0,286.4256977635527,0.90
18/06/2021,B,a2,34.88363910388351,7.50
01/07/2021,S,d0,0.0,-20000.00
01/08/2021,S,d0,0.0,-20000.00
31/08/2021,B,a0,258.93049417169516,0.78
01/09/2021,S,d0,0.0,-20000.00
18/09/2021,S,a0,230.5529776299858,0.95
01/10/2021,S,d0,0.0,-20000.00
01/11/2021,S,d0,0.0,-20000.00
26/11/2021,B,a2,20.832094469411754,8.65
01/12/2021,S,d0,0.0,-20000.00
22/12/2021,B,a2,22.968418434623704,8.92
01/01/2022,S,d0,0.0,-20000.00
03/01/2022,S,a0,315.5884140707785,0.84
01/02/2022,S,d0,0.0,-20000.00
04/02/2022,B,a0,234.95934139762684,1.20
27/02/2022,S,a0,219.61347680101474,0.88
01/03/2022,S,d0,0.0,-20000.00
27/03/2022,S,a2,24.516381382216967,9.69
01/04/2022,S,d0,0.0,-20000.00
23/04/2022,B,a1,40.954391785373375,5.72
01/05/2022,S,d0,0.0,-20000.00
01/06/2022,S,d0,0.0,-20000.00
01/07/2022,S,d0,0.0,-20000.00
13/07/2022,B,a0,234.73055575820706,1.04
20/07/2022,B,a0,194.29014397056454,1.11
01/08/2022,S,d0,0.0,-20000.00
28/08/2022,B,a2,23.916166942035666,10.87
01/09/2022,S,d0,0.0,-20000.00
28/09/2022,B,a1,52.346223869446234,5.29
01/10/2022,S,d0,0.0,-20000.00
01/11/2022,S,d0,0.0,-20000.00
01/12/2022,S,d0,0.0,-20000.00
11/12/2022,B,a1,50.08020332950602,5.17
