date,cash
24/01/2017, 2800.35 (Cash) + 4200.53 (Bank account)
31/01/2017, 2726.32 (Cash) + 4089.47 (Bank account)
07/02/2017, 3115.28 (Cash) + 4672.93 (Bank account)
20/03/2017, 2944.84 (Cash) + 4417.25 (Bank account)
21/05/2017, 2532.76 (Cash) + 3799.13 (Bank account)
23/05/2017, 2518.10 (Cash) + 3777.14 (Bank account)
29/05/2017, 2481.71 (Cash) + 3722.57 (Bank account)
17/06/2017, 2602.36 (Cash) + 3903.55 (Bank account)
19/06/2017, 2485.96 (Cash) + 3728.93 (Bank account)
22/06/2017, 2552.05 (Cash) + 3828.08 (Bank account)
26/06/2017, 2510.48 (Cash) + 3765.72 (Bank account)
07/10/2017, 2511.34 (Cash) + 3767.02 (Bank account)
19/10/2017, 2239.28 (Cash) + 3358.91 (Bank account)
26/11/2017, 2216.20 (Cash) + 3324.31 (Bank account)
30/12/2017, 2174.04 (Cash) + 3261.05 (Bank account)
31/12/2017, 2174.04 (Cash) + 3261.05 (Bank account)
01/03/2018, 1600.16 (Cash) + 2400.24 (Bank account)
10/03/2018, 1936.16 (Cash) + 2904.24 (Bank account)
24/05/2018, 2116.69 (Cash) + 3175.04 (Bank account)
02/09/2018, 1554.04 (Cash) + 2331.07 (Bank account)
23/09/2018, 1132.15 (Cash) + 1698.23 (Bank account)
28/09/2018, 1134.32 (Cash) + 1701.48 (Bank account)
17/10/2018, 1262.18 (Cash) + 1893.26 (Bank account)
09/11/2018, 1548.96 (Cash) + 2323.45 (Bank account)
02/12/2018, 1399.08 (Cash) + 2098.61 (Bank account)
07/03/2019, 2600.30 (Cash) + 3900.45 (Bank account)
01/05/2019, 2410.96 (Cash) + 3616.43 (Bank account)
11/05/2019, 2725.40 (Cash) + 4088.11 (Bank account)
17/05/2019, 2660.78 (Cash) + 3991.17 (Bank account)
04/06/2019, 2529.76 (Cash) + 3794.65 (Bank account)
13/06/2019, 2419.71 (Cash) + 3629.57 (Bank account)
22/07/2019, 2811.48 (Cash) + 4217.21 (Bank account)
03/08/2019, 3201.40 (Cash) + 4802.11 (Bank account)
27/08/2019, 2863.51 (Cash) + 4295.27 (Bank account)
18/09/2019, 3194.12 (Cash) + 4791.18 (Bank account)
18/10/2019, 3027.39 (Cash) + 4541.09 (Bank account)
14/12/2019, 3766.82 (Cash) + 5650.24 (Bank account)
11/01/2020, 3574.83 (Cash) + 5362.25 (Bank account)
17/02/2020, 3182.76 (Cash) + 4774.13 (Bank account)
27/02/2020, 2918.84 (Cash) + 4378.27 (Bank account)
21/03/2020, 3196.46 (Cash) + 4794.68 (Bank account)
22/05/2020, 3354.32 (Cash) + 5031.47 (Bank account)
26/05/2020, 3259.78 (Cash) + 4889.67 (Bank account)
12/06/2020, 3068.22 (Cash) + 4602.33 (Bank account)
12/08/2020, 3583.48 (Cash) + 5375.21 (Bank account)
01/09/2020, 3440.97 (Cash) + 5161.46 (Bank account)
19/09/2020, 3463.82 (Cash) + 5195.74 (Bank account)
05/10/2020, 3696.70 (Cash) + 5545.04 (Bank account)
13/10/2020, 3463.01 (Cash) + 5194.52 (Bank account)
06/12/2020, 3347.32 (Cash) + 5020.97 (Bank account)
10/12/2020, 3314.52 (Cash) + 4971.78 (Bank account)
07/03/2021, 3717.26 (Cash) + 5575.88 (Bank account)
13/05/2021, 3667.95 (Cash) + 5501.92 (Bank account)
20/06/2021, 3415.76 (Cash) + 5123.63 (Bank account)
26/06/2021, 3339.61 (Cash) + 5009.41 (Bank account)
07/08/2021, 3739.48 (Cash) + 5609.23 (Bank account)
30/08/2021, 3633.41 (Cash) + 5450.12 (Bank account)
28/09/2021, 3780.26 (Cash) + 5670.39 (Bank account)
20/11/2021, 3783.48 (Cash) + 5675.21 (Bank account)
28/12/2021, 3719.71 (Cash) + 5579.56 (Bank account)
06/02/2022, 4500.59 (Cash) + 6750.89 (Bank account)
19/07/2022, 4782.94 (Cash) + 7174.42 (Bank account)
03/08/2022, 4888.06 (Cash) + 7332.09 (Bank account)
06/08/2022, 4819.47 (Cash) + 7229.20 (Bank account)
22/08/2022, 4650.25 (Cash) + 6975.37 (Bank account)
22/10/2022, 4684.69 (Cash) + 7027.03 (Bank account)
04/11/2022, 5016.12 (Cash) + 7524.17 (Bank account)
12/12/2022, 4621.82 (Cash) + 6932.72 (Bank account)
