date,category,value
21/09/2014,Food,38.25
22/09/2014,Shopping,0.00
23/09/2014,Food,37.68
23/09/2014,Utilities,58.63
23/09/2014,Leisure,310.30
26/09/2014,Food,36.46
27/09/2014,Food,36.35
01/10/2014,Housing,1700.00
01/10/2014,Food,0.00
01/10/2014,Utilities,300.00
01/10/2014,Health,0.00
01/10/2014,Shopping,0.00
01/10/2014,Leisure,0.00
01/10/2014,Other,0.00
02/10/2014,Food,40.14
07/10/2014,Food,40.02
08/10/2014,Food,39.90
08/10/2014,Leisure,0.00
09/10/2014,Food,39.78
10/10/2014,Food,39.66
12/10/2014,Food,39.55
18/10/2014,Other,54.21
25/10/2014,Food,39.27
27/10/2014,Food,39.12
30/10/2014,Food,39.00
31/10/2014,Health,79.64
01/11/2014,Housing,1700.00
01/11/2014,Food,0.00
01/11/2014,Utilities,300.00
01/11/2014,Health,0.00
01/11/2014,Shopping,0.00
01/11/2014,Leisure,0.00
01/11/2014,Other,0.00
01/11/2014,Food,43.15
03/11/2014,Food,42.78
04/11/2014,Food,42.65
04/11/2014,Other,141.99
06/11/2014,Food,41.39
08/11/2014,Food,41.27
13/11/2014,Health,126.84
14/11/2014,Food,40.78
21/11/2014,Food,40.66
24/11/2014,Food,40.53
26/11/2014,Food,40.41
01/12/2014,Housing,1700.00
01/12/2014,Food,0.00
01/12/2014,Utilities,300.00
01/12/2014,Health,0.00
01/12/2014,Shopping,0.00
01/12/2014,Leisure,0.00
01/12/2014,Other,0.00
06/12/2014,Food,44.19
09/12/2014,Leisure,276.57
14/12/2014,Food,42.52
17/12/2014,Utilities,86.96
22/12/2014,Food,42.15
24/12/2014,Food,42.02
25/12/2014,Shopping,214.44
25/12/2014,Other,107.31
28/12/2014,Food,40.93
29/12/2014,Food,40.80
31/12/2014,Food,40.68
31/12/2014,Other,78.58
01/01/2015,Housing,1700.00
01/01/2015,Food,0.00
01/01/2015,Utilities,300.00
01/01/2015,Health,0.00
01/01/2015,Shopping,0.00
01/01/2015,Leisure,0.00
01/01/2015,Other,0.00
03/01/2015,Leisure,0.00
04/01/2015,Food,44.22
05/01/2015,Food,44.09
08/01/2015,Other,175.93
13/01/2015,Leisure,390.12
16/01/2015,Shopping,91.19
24/01/2015,Health,78.50
25/01/2015,Other,57.95
28/01/2015,Leisure,0.00
31/01/2015,Food,42.74
01/02/2015,Housing,1700.00
01/02/2015,Food,0.00
01/02/2015,Utilities,300.00
01/02/2015,Health,0.00
01/02/2015,Shopping,0.00
01/02/2015,Leisure,0.00
01/02/2015,Other,0.00
01/02/2015,Leisure,0.00
02/02/2015,Food,46.52
04/02/2015,Utilities,69.75
04/02/2015,Shopping,0.00
07/02/2015,Leisure,0.00
09/02/2015,Food,46.17
12/02/2015,Food,46.03
16/02/2015,Food,45.90
16/02/2015,Health,42.61
18/02/2015,Food,45.63
25/02/2015,Food,45.49
27/02/2015,Food,45.35
01/03/2015,Housing,1700.00
01/03/2015,Food,0.00
01/03/2015,Utilities,300.00
01/03/2015,Health,0.00
01/03/2015,Shopping,0.00
01/03/2015,Leisure,0.00
01/03/2015,Other,0.00
01/03/2015,Food,49.72
01/03/2015,Leisure,537.67
05/03/2015,Food,46.69
09/03/2015,Food,46.55
14/03/2015,Food,46.42
16/03/2015,Food,46.28
23/03/2015,Food,46.15
23/03/2015,Utilities,84.78
27/03/2015,Food,45.08
29/03/2015,Food,45.67
29/03/2015,Utilities,116.83
30/03/2015,Utilities,68.43
01/04/2015,Housing,1700.00
01/04/2015,Food,0.00
01/04/2015,Utilities,300.00
01/04/2015,Health,0.00
01/04/2015,Shopping,0.00
01/04/2015,Leisure,0.00
01/04/2015,Other,0.00
03/04/2015,Food,48.88
06/04/2015,Leisure,215.12
07/04/2015,Other,332.91
08/04/2015,Health,117.10
14/04/2015,Other,203.33
21/04/2015,Health,72.54
22/04/2015,Leisure,344.15
24/04/2015,Food,43.11
26/04/2015,Food,42.97
29/04/2015,Food,43.53
01/05/2015,Housing,1700.00
01/05/2015,Food,0.00
01/05/2015,Utilities,300.00
01/05/2015,Health,0.00
01/05/2015,Shopping,0.00
01/05/2015,Leisure,0.00
01/05/2015,Other,0.00
02/05/2015,Food,47.30
04/05/2015,Food,47.16
10/05/2015,Leisure,862.45
13/05/2015,Food,44.43
14/05/2015,Food,44.30
15/05/2015,Shopping,0.00
19/05/2015,Health,104.92
20/05/2015,Food,43.85
21/05/2015,Housing,99.76
29/05/2015,Food,43.42
30/05/2015,Food,43.29
31/05/2015,Food,43.16
01/06/2015,Housing,1700.00
01/06/2015,Food,0.00
01/06/2015,Utilities,300.00
01/06/2015,Health,0.00
01/06/2015,Shopping,0.00
01/06/2015,Leisure,0.00
01/06/2015,Other,0.00
04/06/2015,Food,46.93
06/06/2015,Leisure,72.27
07/06/2015,Food,46.59
08/06/2015,Food,46.45
13/06/2015,Food,46.31
15/06/2015,Food,46.17
17/06/2015,Food,46.03
21/06/2015,Shopping,0.00
27/06/2015,Food,45.87
28/06/2015,Health,131.39
30/06/2015,Food,45.34
01/07/2015,Housing,1700.00
01/07/2015,Food,0.00
01/07/2015,Utilities,300.00
01/07/2015,Health,0.00
01/07/2015,Shopping,0.00
01/07/2015,Leisure,0.00
01/07/2015,Other,0.00
01/07/2015,Leisure,193.94
02/07/2015,Other,0.00
04/07/2015,Food,48.52
08/07/2015,Food,48.37
10/07/2015,Food,48.23
15/07/2015,Food,48.08
18/07/2015,Other,80.58
24/07/2015,Food,47.70
28/07/2015,Food,47.55
29/07/2015,Food,47.41
01/08/2015,Housing,1700.00
01/08/2015,Food,0.00
01/08/2015,Utilities,300.00
01/08/2015,Health,0.00
01/08/2015,Shopping,0.00
01/08/2015,Leisure,0.00
01/08/2015,Other,0.00
03/08/2015,Utilities,65.61
03/08/2015,Other,139.48
04/08/2015,Shopping,335.81
05/08/2015,Food,49.55
07/08/2015,Food,49.40
07/08/2015,Utilities,104.56
08/08/2015,Utilities,60.14
12/08/2015,Shopping,213.91
19/08/2015,Shopping,0.00
21/08/2015,Food,48.11
22/08/2015,Food,47.96
25/08/2015,Utilities,86.71
27/08/2015,Food,47.56
30/08/2015,Food,47.42
31/08/2015,Food,47.27
01/09/2015,Housing,1700.00
01/09/2015,Food,0.00
01/09/2015,Utilities,300.00
01/09/2015,Health,0.00
01/09/2015,Shopping,0.00
01/09/2015,Leisure,0.00
01/09/2015,Other,0.00
05/09/2015,Food,51.03
09/09/2015,Food,50.88
11/09/2015,Food,50.73
11/09/2015,Shopping,0.00
13/09/2015,Food,49.72
14/09/2015,Food,49.57
15/09/2015,Food,49.43
17/09/2015,Shopping,57.86
21/09/2015,Food,49.11
24/09/2015,Food,48.96
24/09/2015,Utilities,79.58
26/09/2015,Food,48.57
29/09/2015,Food,48.43
01/10/2015,Housing,1700.00
01/10/2015,Food,0.00
01/10/2015,Utilities,300.00
01/10/2015,Health,0.00
01/10/2015,Shopping,0.00
01/10/2015,Leisure,0.00
01/10/2015,Other,0.00
01/10/2015,Food,52.78
03/10/2015,Food,52.03
07/10/2015,Shopping,0.00
08/10/2015,Food,51.87
08/10/2015,Shopping,0.00
08/10/2015,Other,318.52
11/10/2015,Health,76.10
12/10/2015,Shopping,0.00
16/10/2015,Food,49.56
16/10/2015,Shopping,306.92
16/10/2015,Leisure,90.50
18/10/2015,Food,48.22
18/10/2015,Health,0.96
23/10/2015,Food,48.07
26/10/2015,Food,47.93
27/10/2015,Shopping,411.68
30/10/2015,Food,46.55
01/11/2015,Housing,1700.00
01/11/2015,Food,0.00
01/11/2015,Utilities,300.00
01/11/2015,Health,0.00
01/11/2015,Shopping,0.00
01/11/2015,Leisure,0.00
01/11/2015,Other,0.00
03/11/2015,Food,50.31
05/11/2015,Shopping,0.00
06/11/2015,Food,50.16
14/11/2015,Leisure,471.58
16/11/2015,Food,48.60
16/11/2015,Health,68.15
18/11/2015,Food,48.25
19/11/2015,Food,48.10
22/11/2015,Food,47.96
24/11/2015,Food,47.00
24/11/2015,Shopping,887.79
24/11/2015,Other,25.65
25/11/2015,Other,48.90
29/11/2015,Leisure,0.00
01/12/2015,Housing,1700.00
01/12/2015,Food,0.00
01/12/2015,Utilities,300.00
01/12/2015,Health,0.00
01/12/2015,Shopping,0.00
01/12/2015,Leisure,0.00
01/12/2015,Other,0.00
01/12/2015,Other,34.78
08/12/2015,Food,47.00
12/12/2015,Shopping,0.00
13/12/2015,Leisure,274.11
14/12/2015,Food,46.04
16/12/2015,Leisure,34.57
18/12/2015,Food,45.80
23/12/2015,Food,45.67
24/12/2015,Shopping,453.66
25/12/2015,Food,44.16
26/12/2015,Food,44.03
26/12/2015,Other,158.13
31/12/2015,Food,44.87
01/01/2016,Housing,1700.00
01/01/2016,Food,0.00
01/01/2016,Utilities,300.00
01/01/2016,Health,0.00
01/01/2016,Shopping,0.00
01/01/2016,Leisure,0.00
01/01/2016,Other,0.00
01/01/2016,Food,49.24
03/01/2016,Food,48.48
04/01/2016,Food,48.34
05/01/2016,Food,48.19
06/01/2016,Other,266.60
11/01/2016,Food,47.25
15/01/2016,Utilities,127.97
17/01/2016,Food,46.72
18/01/2016,Food,46.58
20/01/2016,Food,46.44
23/01/2016,Housing,159.13
23/01/2016,Food,46.30
25/01/2016,Food,45.00
28/01/2016,Food,44.86
01/02/2016,Housing,1700.00
01/02/2016,Food,0.00
01/02/2016,Utilities,300.00
01/02/2016,Health,0.00
01/02/2016,Shopping,0.00
01/02/2016,Leisure,0.00
01/02/2016,Other,0.00
03/02/2016,Shopping,674.53
03/02/2016,Leisure,320.47
05/02/2016,Food,46.19
10/02/2016,Food,46.05
11/02/2016,Shopping,40.36
18/02/2016,Food,45.05
18/02/2016,Leisure,379.16
21/02/2016,Food,43.78
22/02/2016,Food,43.65
24/02/2016,Food,43.52
26/02/2016,Utilities,61.13
28/02/2016,Food,43.20
01/03/2016,Housing,1700.00
01/03/2016,Food,0.00
01/03/2016,Utilities,300.00
01/03/2016,Health,0.00
01/03/2016,Shopping,0.00
01/03/2016,Leisure,0.00
01/03/2016,Other,0.00
01/03/2016,Food,47.57
03/03/2016,Food,46.83
03/03/2016,Health,138.91
07/03/2016,Food,46.29
08/03/2016,Health,92.37
10/03/2016,Food,45.87
11/03/2016,Food,45.73
12/03/2016,Food,45.59
12/03/2016,Other,394.87
15/03/2016,Food,44.27
17/03/2016,Shopping,681.47
20/03/2016,Food,42.10
21/03/2016,Food,41.97
25/03/2016,Shopping,750.86
28/03/2016,Health,71.10
29/03/2016,Food,39.38
29/03/2016,Shopping,0.00
30/03/2016,Food,39.27
31/03/2016,Leisure,0.00
01/04/2016,Housing,1700.00
01/04/2016,Food,0.00
01/04/2016,Utilities,300.00
01/04/2016,Health,0.00
01/04/2016,Shopping,0.00
01/04/2016,Leisure,0.00
01/04/2016,Other,0.00
02/04/2016,Food,43.05
02/04/2016,Health,129.05
11/04/2016,Food,41.99
12/04/2016,Food,41.86
12/04/2016,Health,91.95
13/04/2016,Food,41.46
15/04/2016,Food,41.33
20/04/2016,Utilities,56.27
22/04/2016,Food,41.04
23/04/2016,Food,40.92
24/04/2016,Food,40.79
25/04/2016,Food,40.67
27/04/2016,Food,40.55
01/05/2016,Housing,1700.00
01/05/2016,Food,0.00
01/05/2016,Utilities,300.00
01/05/2016,Health,0.00
01/05/2016,Shopping,0.00
01/05/2016,Leisure,0.00
01/05/2016,Other,0.00
01/05/2016,Food,46.46
03/05/2016,Food,45.72
05/05/2016,Food,45.59
07/05/2016,Other,67.07
11/05/2016,Food,45.25
12/05/2016,Food,45.11
12/05/2016,Other,98.96
15/05/2016,Food,44.67
17/05/2016,Food,44.53
18/05/2016,Shopping,0.00
20/05/2016,Food,44.40
23/05/2016,Food,44.27
27/05/2016,Other,99.09
30/05/2016,Food,44.06
31/05/2016,Food,44.51
01/06/2016,Housing,1700.00
01/06/2016,Food,0.00
01/06/2016,Utilities,300.00
01/06/2016,Health,0.00
01/06/2016,Shopping,0.00
01/06/2016,Leisure,0.00
01/06/2016,Other,0.00
01/06/2016,Leisure,0.00
04/06/2016,Food,48.28
04/06/2016,Utilities,61.31
06/06/2016,Food,47.95
07/06/2016,Food,47.81
07/06/2016,Shopping,0.00
08/06/2016,Food,47.66
10/06/2016,Leisure,334.92
11/06/2016,Food,46.51
12/06/2016,Food,46.37
13/06/2016,Food,46.24
18/06/2016,Food,46.34
24/06/2016,Food,46.22
25/06/2016,Health,110.96
27/06/2016,Food,45.74
28/06/2016,Health,0.00
01/07/2016,Housing,1700.00
01/07/2016,Food,0.00
01/07/2016,Utilities,300.00
01/07/2016,Health,0.00
01/07/2016,Shopping,0.00
01/07/2016,Leisure,0.00
01/07/2016,Other,0.00
01/07/2016,Food,50.11
01/07/2016,Health,80.55
02/07/2016,Leisure,810.12
04/07/2016,Food,46.68
06/07/2016,Health,127.74
13/07/2016,Food,46.16
15/07/2016,Food,46.02
16/07/2016,Food,45.26
18/07/2016,Food,45.13
18/07/2016,Shopping,0.00
21/07/2016,Leisure,365.54
23/07/2016,Food,43.90
23/07/2016,Utilities,91.27
25/07/2016,Leisure,365.15
28/07/2016,Food,42.40
30/07/2016,Utilities,100.61
01/08/2016,Housing,1700.00
01/08/2016,Food,0.00
01/08/2016,Utilities,300.00
01/08/2016,Health,0.00
01/08/2016,Shopping,0.00
01/08/2016,Leisure,0.00
01/08/2016,Other,0.00
01/08/2016,Food,46.47
04/08/2016,Food,45.73
05/08/2016,Food,45.58
05/08/2016,Health,122.33
11/08/2016,Food,45.08
15/08/2016,Food,44.94
20/08/2016,Food,44.80
21/08/2016,Food,44.67
23/08/2016,Food,44.54
26/08/2016,Other,177.07
27/08/2016,Food,43.87
28/08/2016,Food,43.74
30/08/2016,Food,43.61
31/08/2016,Health,172.47
01/09/2016,Housing,1700.00
01/09/2016,Food,0.00
01/09/2016,Utilities,300.00
01/09/2016,Health,0.00
01/09/2016,Shopping,0.00
01/09/2016,Leisure,0.00
01/09/2016,Other,0.00
04/09/2016,Food,46.86
04/09/2016,Shopping,0.00
05/09/2016,Health,80.59
08/09/2016,Food,46.48
09/09/2016,Food,46.34
13/09/2016,Shopping,0.00
17/09/2016,Food,45.63
19/09/2016,Food,45.97
20/09/2016,Leisure,65.12
28/09/2016,Food,45.64
28/09/2016,Shopping,418.46
29/09/2016,Health,72.75
30/09/2016,Food,44.03
01/10/2016,Housing,1700.00
01/10/2016,Food,0.00
01/10/2016,Utilities,300.00
01/10/2016,Health,0.00
01/10/2016,Shopping,0.00
01/10/2016,Leisure,0.00
01/10/2016,Other,0.00
04/10/2016,Food,47.80
06/10/2016,Food,47.65
08/10/2016,Food,47.51
11/10/2016,Food,46.50
12/10/2016,Food,46.35
12/10/2016,Health,95.54
13/10/2016,Food,45.93
17/10/2016,Food,45.79
19/10/2016,Health,97.20
20/10/2016,Food,45.36
21/10/2016,Food,45.22
22/10/2016,Shopping,0.00
25/10/2016,Food,45.09
26/10/2016,Food,44.95
27/10/2016,Food,44.82
