id,date,type,category,value,price_index,reference
196,01/11/2008,Expenses,Housing,1700.00,,
197,01/11/2008,Expenses,Utilities,300.00,,
198,01/11/2008,Savings/debt expenses,,92.32,,3
199,01/11/2008,Debt selling,,7.68,1,3
200,04/11/2008,Expenses,Housing,64.74,,
201,04/11/2008,Expenses,Shopping,31.12,,
202,05/11/2008,Expenses,Shopping,403.71,,
203,07/11/2008,Expenses,Health,83.25,,
204,09/11/2008,Expenses,Food,45.51,,
205,10/11/2008,Expenses,Food,45.37,,
206,12/11/2008,Expenses,Food,45.24,,
207,17/11/2008,Expenses,Food,45.10,,
208,21/11/2008,Expenses,Food,44.98,,
209,23/11/2008,Expenses,Utilities,109.54,,
210,24/11/2008,Expenses,Food,44.52,,
211,27/11/2008,Expenses,Food,44.38,,
212,01/12/2008,Income,,3500.00,,
213,01/12/2008,Expenses,Housing,1700.00,,
214,01/12/2008,Expenses,Utilities,300.00,,
215,01/12/2008,Expenses,Utilities,84.23,,
216,01/12/2008,Savings/debt expenses,,92.28,,3
217,01/12/2008,Debt selling,,7.72,1,3
218,03/12/2008,Expenses,Food,48.20,,
219,04/12/2008,Expenses,Food,48.05,,
220,06/12/2008,Expenses,,48.42,,
221,07/12/2008,Expenses,,94.05,,
222,09/12/2008,Expenses,Shopping,251.03,,
223,12/12/2008,Expenses,Food,46.73,,
224,13/12/2008,Expenses,Utilities,53.97,,
225,14/12/2008,Expenses,Leisure,882.41,,
226,18/12/2008,Expenses,Utilities,68.83,,
227,19/12/2008,Savings selling,,200,0.45,1
228,20/12/2008,Expenses,Food,44.17,,
229,01/01/2009,Income,,3500.00,,
230,01/01/2009,Expenses,Housing,1700.00,,
231,01/01/2009,Expenses,Utilities,300.00,,
232,01/01/2009,Expenses,Food,48.54,,
233,01/01/2009,Savings/debt expenses,,92.24,,3
234,01/01/2009,Debt selling,,7.76,1,3
235,02/01/2009,Expenses,Food,48.09,,
236,02/01/2009,Expenses,Health,91.20,,
237,06/01/2009,Expenses,Food,47.68,,
238,09/01/2009,Expenses,Food,47.53,,
239,09/01/2009,Expenses,Shopping,697.71,,
240,09/01/2009,Expenses,,178.68,,
241,09/01/2009,Debt selling,,204.1,1,3
242,10/01/2009,Expenses,Health,154.93,,
243,11/01/2009,Expenses,Food,43.68,,
244,15/01/2009,Debt selling,,279.83,1,3
245,16/01/2009,Expenses,Food,42.71,,
246,17/01/2009,Expenses,Food,42.59,,
247,17/01/2009,Expenses,Shopping,443.63,,
248,22/01/2009,Expenses,Housing,174.53,,
249,22/01/2009,Expenses,Food,41.13,,
250,24/01/2009,Expenses,Utilities,104.83,,
251,27/01/2009,Expenses,Food,40.17,,
252,30/01/2009,Expenses,Food,40.05,,
253,01/02/2009,Income,,3500.00,,
254,01/02/2009,Expenses,Housing,1700.00,,
255,01/02/2009,Expenses,Utilities,300.00,,
256,01/02/2009,Expenses,Food,44.43,,
257,01/02/2009,Savings/debt expenses,,89.78,,3
258,01/02/2009,Debt selling,,10.22,1,3
259,07/02/2009,Expenses,Utilities,83.48,,
260,18/02/2009,Expenses,Housing,96.98,,
261,20/02/2009,Expenses,Food,43.49,,
262,28/02/2009,Expenses,Food,43.36,,
263,01/03/2009,Income,,3500.00,,
264,01/03/2009,Expenses,Housing,1700.00,,
265,01/03/2009,Expenses,Utilities,300.00,,
266,01/03/2009,Savings/debt expenses,,89.73,,3
267,01/03/2009,Debt selling,,10.27,1,3
268,03/03/2009,Expenses,Food,47.43,,
269,03/03/2009,Expenses,,72.61,,
270,11/03/2009,Expenses,,157.81,,
271,12/03/2009,Expenses,Leisure,250.56,,
272,17/03/2009,Expenses,Food,45.84,,
273,18/03/2009,Income,,79.11,,
274,20/03/2009,Expenses,Food,45.94,,
275,22/03/2009,Expenses,Food,45.80,,
276,26/03/2009,Expenses,Shopping,537.81,,
277,31/03/2009,Expenses,Leisure,1222.79,,
278,01/04/2009,Income,,3500.00,,
279,01/04/2009,Expenses,Housing,1700.00,,
280,01/04/2009,Expenses,Utilities,300.00,,
281,01/04/2009,Savings/debt expenses,,89.68,,3
282,01/04/2009,Debt selling,,10.32,1,3
283,03/04/2009,Expenses,Food,44.58,,
284,05/04/2009,Expenses,Food,44.44,,
285,05/04/2009,Expenses,,67.49,,
286,07/04/2009,Expenses,Food,44.11,,
287,09/04/2009,Expenses,Food,43.98,,
288,09/04/2009,Expenses,Health,57.68,,
289,13/04/2009,Expenses,Food,43.67,,
290,14/04/2009,Expenses,Food,43.54,,
291,15/04/2009,Expenses,Food,43.41,,
292,16/04/2009,Expenses,Food,43.28,,
293,19/04/2009,Expenses,Food,43.15,,
294,22/04/2009,Expenses,Food,43.02,,
295,24/04/2009,Expenses,,200.50,,
296,28/04/2009,Expenses,Utilities,94.37,,
297,29/04/2009,Expenses,Food,42.02,,
298,01/05/2009,Income,,3500.00,,
299,01/05/2009,Expenses,Housing,1700.00,,
300,01/05/2009,Expenses,Utilities,300.00,,
301,01/05/2009,Income,,233.17,,
302,01/05/2009,Expenses,Food,47.09,,
303,01/05/2009,Savings/debt expenses,,89.63,,3
304,01/05/2009,Debt selling,,10.37,1,3
305,04/05/2009,Expenses,Leisure,450.30,,
306,06/05/2009,Expenses,Food,45.30,,
307,07/05/2009,Expenses,Food,45.16,,
308,07/05/2009,Expenses,Health,98.42,,
309,10/05/2009,Expenses,Leisure,10.21,,
310,12/05/2009,Expenses,Food,44.70,,
311,14/05/2009,Expenses,Shopping,277.82,,
312,19/05/2009,Expenses,Utilities,86.99,,
313,23/05/2009,Expenses,Utilities,27.10,,
314,24/05/2009,Expenses,Food,43.39,,
315,25/05/2009,Expenses,,1.42,,
316,26/05/2009,Expenses,Food,43.26,,
317,28/05/2009,Expenses,Food,43.13,,
318,01/06/2009,Income,,3500.00,,
319,01/06/2009,Expenses,Housing,1700.00,,
320,01/06/2009,Expenses,Utilities,300.00,,
321,01/06/2009,Expenses,Housing,91.65,,
322,01/06/2009,Savings/debt expenses,,89.58,,3
323,01/06/2009,Debt selling,,10.42,1,3
324,02/06/2009,Expenses,Housing,104.98,,
325,02/06/2009,Expenses,Food,46.92,,
326,03/06/2009,Expenses,Health,160.63,,
327,06/06/2009,Expenses,Food,45.98,,
328,07/06/2009,Expenses,Health,42.25,,
329,08/06/2009,Expenses,Food,45.72,,
330,09/06/2009,Expenses,Food,45.58,,
331,16/06/2009,Expenses,Utilities,43.78,,
332,18/06/2009,Expenses,Food,45.31,,
333,21/06/2009,Expenses,Leisure,453.40,,
334,25/06/2009,Expenses,Food,43.82,,
335,25/06/2009,Expenses,Health,143.18,,
336,25/06/2009,Expenses,,272.89,,
337,01/07/2009,Income,,3500.00,,
338,01/07/2009,Expenses,Housing,1700.00,,
339,01/07/2009,Expenses,Utilities,300.00,,
340,01/07/2009,Savings/debt expenses,,89.52,,3
341,01/07/2009,Debt selling,,10.48,1,3
342,04/07/2009,Expenses,Food,46.64,,
343,05/07/2009,Expenses,Shopping,16.53,,
344,08/07/2009,Expenses,Food,46.45,,
345,09/07/2009,Expenses,Food,46.31,,
346,12/07/2009,Expenses,Food,46.17,,
347,13/07/2009,Expenses,Food,46.03,,
348,13/07/2009,Expenses,Leisure,599.67,,
349,19/07/2009,Expenses,Food,44.10,,
350,19/07/2009,Expenses,Shopping,22.42,,
351,21/07/2009,Expenses,Food,43.90,,
352,24/07/2009,Expenses,Food,43.76,,
353,26/07/2009,Expenses,Food,43.64,,
354,26/07/2009,Expenses,Health,25.57,,
355,28/07/2009,Expenses,Food,43.43,,
356,31/07/2009,Expenses,Food,43.30,,
357,01/08/2009,Income,,3500.00,,
358,01/08/2009,Expenses,Housing,1700.00,,
359,01/08/2009,Expenses,Utilities,300.00,,
360,01/08/2009,Expenses,Food,47.67,,
361,01/08/2009,Savings/debt expenses,,89.47,,3
362,01/08/2009,Debt selling,,10.53,1,3
363,03/08/2009,Expenses,Food,47.23,,
364,03/08/2009,Expenses,Utilities,81.30,,
365,06/08/2009,Expenses,,49.28,,
366,08/08/2009,Expenses,,18.18,,
367,09/08/2009,Expenses,Food,46.64,,
368,11/08/2009,Debt selling,,207.51,1,3
369,13/08/2009,Debt selling,,271.87,1,3
370,17/08/2009,Expenses,Food,45.06,,
371,18/08/2009,Expenses,Food,44.93,,
372,19/08/2009,Expenses,Utilities,81.55,,
373,19/08/2009,Expenses,Leisure,75.17,,
374,21/08/2009,Expenses,Food,44.35,,
375,23/08/2009,Expenses,Health,27.58,,
376,24/08/2009,Expenses,Food,44.13,,
377,25/08/2009,Expenses,,175.17,,
378,27/08/2009,Expenses,Food,43.48,,
379,29/08/2009,Expenses,,127.02,,
380,01/09/2009,Income,,3500.00,,
381,01/09/2009,Expenses,Housing,1700.00,,
382,01/09/2009,Expenses,Utilities,300.00,,
383,01/09/2009,Savings/debt expenses,,87.02,,3
384,01/09/2009,Debt selling,,12.98,1,3
385,05/09/2009,Expenses,Leisure,896.14,,
386,06/09/2009,Expenses,Housing,152.32,,
387,06/09/2009,Expenses,Health,1.28,,
388,07/09/2009,Expenses,Food,44.02,,
389,08/09/2009,Expenses,Food,43.88,,
390,08/09/2009,Expenses,Utilities,48.04,,
391,09/09/2009,Income,,350.56,,
392,09/09/2009,Expenses,Food,44.66,,
393,12/09/2009,Expenses,Utilities,79.77,,
394,15/09/2009,Expenses,Housing,188.82,,
395,16/09/2009,Expenses,,188.17,,
396,18/09/2009,Expenses,Food,43.17,,
397,18/09/2009,Expenses,Utilities,70.18,,
398,18/09/2009,Expenses,Health,49.61,,
399,19/09/2009,Expenses,Food,42.68,,
400,25/09/2009,Expenses,Food,42.55,,
401,26/09/2009,Expenses,Food,42.42,,
402,27/09/2009,Expenses,Food,42.30,,
403,27/09/2009,Expenses,Shopping,557.65,,
404,29/09/2009,Expenses,Food,40.50,,
405,01/10/2009,Income,,3500.00,,
406,01/10/2009,Expenses,Housing,1700.00,,
407,01/10/2009,Expenses,Utilities,300.00,,
408,01/10/2009,Savings/debt expenses,,86.96,,3
409,01/10/2009,Debt selling,,13.04,1,3
410,05/10/2009,Expenses,Shopping,158.23,,
411,06/10/2009,Expenses,Leisure,194.89,,
412,07/10/2009,Expenses,Food,43.51,,
413,07/10/2009,Debt selling,,205.43,1,3
414,08/10/2009,Expenses,,145.66,,
415,13/10/2009,Expenses,Food,42.33,,
416,14/10/2009,Expenses,Food,42.20,,
417,16/10/2009,Expenses,Food,42.08,,
418,17/10/2009,Expenses,Food,41.95,,
419,18/10/2009,Expenses,Food,41.83,,
420,22/10/2009,Expenses,Food,41.70,,
421,22/10/2009,Expenses,Leisure,449.83,,
422,23/10/2009,Expenses,Food,40.23,,
423,24/10/2009,Expenses,Food,40.10,,
424,27/10/2009,Expenses,Food,39.98,,
425,27/10/2009,Expenses,Shopping,34.47,,
426,01/11/2009,Income,,3500.00,,
427,01/11/2009,Expenses,Housing,1700.00,,
428,01/11/2009,Expenses,Utilities,300.00,,
429,01/11/2009,Savings/debt expenses,,85.86,,3
430,01/11/2009,Debt selling,,14.14,1,3
431,03/11/2009,Expenses,Food,43.96,,
432,03/11/2009,Expenses,Health,127.62,,
433,05/11/2009,Expenses,Food,43.45,,
434,06/11/2009,Expenses,Food,43.32,,
435,09/11/2009,Expenses,Leisure,876.55,,
436,14/11/2009,Income,,146.43,,
437,15/11/2009,Expenses,Food,41.00,,
438,17/11/2009,Expenses,Shopping,813.01,,
439,18/11/2009,Expenses,Food,38.43,,
440,20/11/2009,Expenses,Food,38.32,,
441,20/11/2009,Expenses,Utilities,89.01,,
442,21/11/2009,Expenses,Food,37.94,,
443,25/11/2009,Expenses,Food,37.82,,
444,28/11/2009,Expenses,Food,37.71,,
445,01/12/2009,Income,,3500.00,,
446,01/12/2009,Expenses,Housing,1700.00,,
447,01/12/2009,Expenses,Utilities,300.00,,
448,01/12/2009,Savings/debt expenses,,85.79,,3
449,01/12/2009,Debt selling,,14.21,1,3
450,02/12/2009,Income,,178.93,,
451,09/12/2009,Expenses,Food,42.33,,
452,11/12/2009,Expenses,Health,46.96,,
453,12/12/2009,Expenses,Food,42.06,,
454,17/12/2009,Expenses,,122.70,,
455,17/12/2009,Debt selling,,75.84,1,3
456,18/12/2009,Expenses,,169.62,,
457,23/12/2009,Expenses,Food,40.83,,
458,25/12/2009,Expenses,Food,40.71,,
459,01/01/2010,Income,,3500.00,,
460,01/01/2010,Expenses,Housing,1700.00,,
461,01/01/2010,Expenses,Utilities,300.00,,
462,01/01/2010,Savings/debt expenses,,85.34,,3
463,01/01/2010,Debt selling,,14.66,1,3
464,07/01/2010,Expenses,Food,44.79,,
465,08/01/2010,Expenses,Food,44.65,,
466,10/01/2010,Expenses,Food,44.52,,
467,11/01/2010,Expenses,Food,44.38,,
468,15/01/2010,Debt selling,,175.58,1,3
469,27/01/2010,Expenses,Food,43.72,,
470,29/01/2010,Expenses,Food,43.59,,
471,29/01/2010,Expenses,Shopping,662.75,,
472,30/01/2010,Debt selling,,163.45,1,3
473,01/02/2010,Income,,3500.00,,
474,01/02/2010,Expenses,Housing,1700.00,,
475,01/02/2010,Expenses,Utilities,300.00,,
476,01/02/2010,Savings/debt expenses,,83.58,,3
477,01/02/2010,Debt selling,,16.42,1,3
478,04/02/2010,Expenses,Food,45.16,,
479,07/02/2010,Expenses,Food,45.03,,
480,13/02/2010,Expenses,Food,44.89,,
481,15/02/2010,Expenses,Utilities,49.45,,
482,18/02/2010,Expenses,,65.68,,
483,22/02/2010,Expenses,Food,44.41,,
484,22/02/2010,Expenses,,93.47,,
485,26/02/2010,Expenses,Food,44.00,,
486,27/02/2010,Expenses,Leisure,434.72,,
487,28/02/2010,Expenses,Health,79.65,,
488,01/03/2010,Income,,3500.00,,
489,01/03/2010,Expenses,Housing,1700.00,,
490,01/03/2010,Expenses,Utilities,300.00,,
491,01/03/2010,Expenses,Food,46.83,,
492,01/03/2010,Savings/debt expenses,,83.49,,3
493,01/03/2010,Debt selling,,16.51,1,3
494,03/03/2010,Expenses,Food,46.38,,
495,03/03/2010,Expenses,Shopping,102.21,,
496,04/03/2010,Expenses,Food,45.94,,
497,06/03/2010,Expenses,Food,45.80,,
498,07/03/2010,Expenses,Food,45.66,,
499,08/03/2010,Expenses,Food,45.53,,
500,11/03/2010,Expenses,,244.38,,
501,15/03/2010,Expenses,Food,44.66,,
502,16/03/2010,Expenses,Housing,202.28,,
503,16/03/2010,Expenses,Food,44.52,,
504,19/03/2010,Expenses,Food,43.78,,
505,21/03/2010,Expenses,Food,43.65,,
506,22/03/2010,Expenses,Leisure,2.46,,
507,25/03/2010,Expenses,Food,43.51,,
508,26/03/2010,Expenses,,153.58,,
509,27/03/2010,Expenses,Utilities,125.90,,
510,28/03/2010,Expenses,Food,42.54,,
511,01/04/2010,Income,,3500.00,,
512,01/04/2010,Expenses,Housing,1700.00,,
513,01/04/2010,Expenses,Utilities,300.00,,
514,01/04/2010,Savings/debt expenses,,83.41,,3
515,01/04/2010,Debt selling,,16.59,1,3
516,02/04/2010,Expenses,Food,46.60,,
517,03/04/2010,Expenses,Food,46.46,,
518,05/04/2010,Expenses,Shopping,34.80,,
519,06/04/2010,Expenses,Food,46.21,,
520,11/04/2010,Income,,173.71,,
521,14/04/2010,Expenses,Food,46.61,,
522,15/04/2010,Expenses,Food,46.47,,
523,17/04/2010,Expenses,Food,46.33,,
524,18/04/2010,Expenses,Food,46.19,,
525,20/04/2010,Expenses,Housing,61.28,,
526,22/04/2010,Expenses,Food,45.87,,
527,25/04/2010,Debt selling,,128.61,1,3
528,26/04/2010,Debt selling,,159.17,1,3
529,28/04/2010,Expenses,Health,30.53,,
530,29/04/2010,Expenses,,78.54,,
531,30/04/2010,Expenses,Food,44.54,,
532,01/05/2010,Income,,3500.00,,
533,01/05/2010,Expenses,Housing,1700.00,,
534,01/05/2010,Expenses,Utilities,300.00,,
535,01/05/2010,Savings/debt expenses,,81.89,,3
536,01/05/2010,Debt selling,,18.11,1,3
537,04/05/2010,Expenses,Leisure,818.02,,
538,05/05/2010,Expenses,Food,46.15,,
539,13/05/2010,Expenses,Food,46.01,,
540,14/05/2010,Expenses,Food,45.87,,
541,19/05/2010,Expenses,Food,45.74,,
542,20/05/2010,Expenses,Food,45.60,,
543,21/05/2010,Debt selling,,185.95,1,3
544,23/05/2010,Expenses,Utilities,101.24,,
545,26/05/2010,Expenses,Health,76.56,,
546,27/05/2010,Expenses,Food,44.37,,
547,28/05/2010,Expenses,,201.60,,
548,29/05/2010,Expenses,Utilities,99.47,,
549,31/05/2010,Expenses,Shopping,311.09,,
550,01/06/2010,Income,,3500.00,,
551,01/06/2010,Expenses,Housing,1700.00,,
552,01/06/2010,Expenses,Utilities,300.00,,
553,01/06/2010,Savings/debt expenses,,80.87,,3
554,01/06/2010,Debt selling,,19.13,1,3
555,05/06/2010,Expenses,Food,46.60,,
556,06/06/2010,Expenses,Utilities,119.82,,
557,09/06/2010,Expenses,Food,46.11,,
558,09/06/2010,Expenses,Shopping,157.14,,
559,14/06/2010,Expenses,Food,45.50,,
560,16/06/2010,Expenses,Health,52.34,,
561,19/06/2010,Expenses,Food,45.20,,
562,19/06/2010,Expenses,Utilities,71.04,,
563,21/06/2010,Expenses,,165.86,,
564,28/06/2010,Expenses,Food,44.36,,
565,30/06/2010,Expenses,,29.39,,
566,01/07/2010,Income,,3500.00,,
567,01/07/2010,Expenses,Housing,1700.00,,
568,01/07/2010,Expenses,Utilities,300.00,,
569,01/07/2010,Savings/debt expenses,,80.77,,3
570,01/07/2010,Debt selling,,19.23,1,3
571,04/07/2010,Income,,692.77,,
572,07/07/2010,Expenses,Shopping,424.16,,
573,08/07/2010,Expenses,Food,49.14,,
574,16/07/2010,Expenses,Food,49.00,,
575,17/07/2010,Expenses,Food,48.85,,
576,17/07/2010,Debt selling,,273.13,1,3
577,22/07/2010,Expenses,Health,54.75,,
578,22/07/2010,Debt selling,,254.9,1,3
579,22/07/2010,Debt selling,,261.76,1,3
580,24/07/2010,Expenses,Food,46.17,,
581,26/07/2010,Expenses,Food,46.03,,
582,27/07/2010,Expenses,Food,45.89,,
583,29/07/2010,Expenses,Food,45.75,,
584,30/07/2010,Expenses,Food,45.62,,
585,30/07/2010,Expenses,Health,86.57,,
586,01/08/2010,Income,,3500.00,,
587,01/08/2010,Expenses,Housing,1700.00,,
588,01/08/2010,Expenses,Utilities,300.00,,
589,01/08/2010,Expenses,Food,49.72,,
590,01/08/2010,Savings/debt expenses,,76.73,,3
591,01/08/2010,Debt selling,,23.27,1,3
592,02/08/2010,Debt selling,,213.42,1,3
593,04/08/2010,Expenses,,183.52,,
594,10/08/2010,Expenses,Food,48.10,,
595,10/08/2010,Debt selling,,278.13,1,3
596,12/08/2010,Expenses,Food,47.12,,
597,15/08/2010,Expenses,Food,46.95,,
598,18/08/2010,Expenses,Food,46.81,,
599,23/08/2010,Expenses,Food,46.69,,
