id,date,type,category,quantity,value,reference
140,01/06/2013,Debt selling,,0.01,20000.00,d0
141,01/06/2013,Asset expenses,,1,186.00,d0
142,02/06/2013,Expenses,Food,1,40.04,
143,03/06/2013,Expenses,Food,1,39.92,
144,06/06/2013,Expenses,Food,1,39.80,
145,07/06/2013,Expenses,Leisure,1,39.17,
146,10/06/2013,Expenses,Food,1,39.54,
147,15/06/2013,Expenses,Food,1,39.42,
148,16/06/2013,Expenses,Health,1,110.58,
149,17/06/2013,Expenses,Leisure,1,526.79,
150,19/06/2013,Expenses,Food,1,37.38,
151,20/06/2013,Expenses,Food,1,37.27,
152,23/06/2013,Expenses,Leisure,1,1756.95,
153,24/06/2013,Expenses,Food,1,31.89,
154,30/06/2013,Expenses,Food,1,31.79,
155,01/07/2013,Income,,1,3500.00,
156,01/07/2013,Income,,1,0.00,
157,01/07/2013,Expenses,Housing,1,1700.00,
158,01/07/2013,Expenses,Food,1,0.00,
159,01/07/2013,Expenses,Utilities,1,300.00,
160,01/07/2013,Expenses,Health,1,0.00,
161,01/07/2013,Expenses,Shopping,1,0.00,
162,01/07/2013,Expenses,Leisure,1,0.00,
163,01/07/2013,Expenses,Other,1,0.00,
164,01/07/2013,Debt selling,,0.01,20000.00,d0
165,01/07/2013,Asset expenses,,1,184.00,d0
166,05/07/2013,Expenses,Other,1,78.36,
167,06/07/2013,Expenses,Utilities,1,104.50,
168,11/07/2013,Expenses,Food,1,34.50,
169,11/07/2013,Expenses,Other,1,0.00,
170,14/07/2013,Expenses,Food,1,34.39,
171,16/07/2013,Expenses,Food,1,34.29,
172,16/07/2013,Expenses,Utilities,1,103.39,
173,21/07/2013,Expenses,Food,1,33.88,
174,22/07/2013,Expenses,Food,1,33.78,
175,23/07/2013,Expenses,Food,1,33.68,
176,26/07/2013,Expenses,Food,1,33.57,
177,29/07/2013,Expenses,Food,1,33.45,
178,29/07/2013,Debt selling,,0.01,20000.00,d0
179,30/07/2013,Expenses,Housing,1,159.87,
180,01/08/2013,Income,,1,3500.00,
181,01/08/2013,Income,,1,0.00,
182,01/08/2013,Expenses,Housing,1,1700.00,
183,01/08/2013,Expenses,Food,1,0.00,
184,01/08/2013,Expenses,Utilities,1,300.00,
185,01/08/2013,Expenses,Health,1,0.00,
186,01/08/2013,Expenses,Shopping,1,0.00,
187,01/08/2013,Expenses,Leisure,1,0.00,
188,01/08/2013,Expenses,Other,1,0.00,
189,01/08/2013,Debt selling,,0.01,20000.00,d0
190,01/08/2013,Asset expenses,,1,180.00,d0
191,03/08/2013,Expenses,Food,1,35.63,
192,03/08/2013,Expenses,Health,1,58.70,
193,05/08/2013,Expenses,Food,1,35.35,
194,06/08/2013,Income,,1,73.09,
195,07/08/2013,Expenses,Shopping,1,462.25,
196,08/08/2013,Expenses,Food,1,34.07,
197,10/08/2013,Expenses,Food,1,33.97,
198,11/08/2013,Expenses,Food,1,33.87,
199,13/08/2013,Expenses,Food,1,33.77,
200,16/08/2013,Expenses,Shopping,1,43.11,
201,17/08/2013,Expenses,Food,1,33.54,
202,19/08/2013,Expenses,Shopping,1,0.00,
203,21/08/2013,Expenses,Food,1,33.43,
204,26/08/2013,Expenses,Health,1,73.81,
205,27/08/2013,Debt selling,,0.01,20000.00,d0
206,01/09/2013,Income,,1,3500.00,
207,01/09/2013,Income,,1,0.00,
208,01/09/2013,Expenses,Housing,1,1700.00,
209,01/09/2013,Expenses,Food,1,0.00,
210,01/09/2013,Expenses,Utilities,1,300.00,
211,01/09/2013,Expenses,Health,1,0.00,
212,01/09/2013,Expenses,Shopping,1,0.00,
213,01/09/2013,Expenses,Leisure,1,0.00,
214,01/09/2013,Expenses,Other,1,0.00,
215,01/09/2013,Debt selling,,0.01,20000.00,d0
216,01/09/2013,Asset expenses,,1,176.00,d0
217,04/09/2013,Expenses,Food,1,35.88,
218,04/09/2013,Expenses,Health,1,80.36,
219,05/09/2013,Expenses,Food,1,35.52,
220,05/09/2013,Expenses,Leisure,1,335.66,
221,07/09/2013,Expenses,Food,1,34.38,
222,09/09/2013,Expenses,Food,1,34.28,
223,11/09/2013,Expenses,Food,1,34.17,
224,14/09/2013,Expenses,Food,1,34.07,
225,16/09/2013,Expenses,Food,1,33.97,
226,20/09/2013,Expenses,Food,1,33.87,
227,21/09/2013,Expenses,Shopping,1,414.37,
228,22/09/2013,Expenses,Food,1,32.52,
229,24/09/2013,Expenses,Shopping,1,0.00,
230,25/09/2013,Expenses,Health,1,45.93,
231,26/09/2013,Expenses,Food,1,32.29,
232,28/09/2013,Debt selling,,0.01,20000.00,d0
233,30/09/2013,Expenses,Leisure,1,527.31,
234,30/09/2013,Debt selling,,0.0,20000.00,d0
235,01/10/2013,Income,,1,3500.00,
236,01/10/2013,Income,,1,0.00,
237,01/10/2013,Expenses,Housing,1,1700.00,
238,01/10/2013,Expenses,Food,1,0.00,
239,01/10/2013,Expenses,Utilities,1,300.00,
240,01/10/2013,Expenses,Health,1,0.00,
241,01/10/2013,Expenses,Shopping,1,0.00,
242,01/10/2013,Expenses,Leisure,1,0.00,
243,01/10/2013,Expenses,Other,1,0.00,
244,01/10/2013,Debt selling,,0.01,20000.00,d0
245,01/10/2013,Asset expenses,,1,172.00,d0
246,03/10/2013,Expenses,Food,1,33.39,
247,03/10/2013,Expenses,Health,1,85.24,
248,07/10/2013,Expenses,Food,1,33.04,
249,10/10/2013,Expenses,Other,1,25.30,
250,16/10/2013,Expenses,Housing,1,176.15,
251,16/10/2013,Expenses,Food,1,32.86,
252,16/10/2013,Expenses,Utilities,1,91.96,
253,19/10/2013,Expenses,Food,1,31.96,
254,20/10/2013,Savings selling,,0,294.58,a0
255,21/10/2013,Expenses,Food,1,31.86,
256,23/10/2013,Expenses,Food,1,31.77,
257,23/10/2013,Expenses,Leisure,1,290.15,
258,26/10/2013,Income,,1,136.09,
259,30/10/2013,Expenses,Food,1,31.21,
260,31/10/2013,Expenses,Other,1,208.38,
261,01/11/2013,Income,,1,3500.00,
262,01/11/2013,Income,,1,0.00,
263,01/11/2013,Expenses,Housing,1,1700.00,
264,01/11/2013,Expenses,Food,1,0.00,
265,01/11/2013,Expenses,Utilities,1,300.00,
266,01/11/2013,Expenses,Health,1,0.00,
267,01/11/2013,Expenses,Shopping,1,0.00,
268,01/11/2013,Expenses,Leisure,1,0.00,
269,01/11/2013,Expenses,Other,1,0.00,
270,01/11/2013,Debt selling,,0.01,20000.00,d0
271,01/11/2013,Asset expenses,,1,170.00,d0
272,03/11/2013,Income,,1,0.00,
273,11/11/2013,Expenses,Food,1,33.88,
274,11/11/2013,Expenses,Other,1,68.47,
275,14/11/2013,Expenses,Food,1,33.57,
276,19/11/2013,Expenses,Food,1,33.47,
277,20/11/2013,Expenses,Food,1,33.37,
278,21/11/2013,Expenses,Shopping,1,227.29,
279,23/11/2013,Expenses,Shopping,1,133.26,
280,25/11/2013,Income,,1,0.00,
281,25/11/2013,Debt selling,,0.01,20000.00,d0
282,27/11/2013,Expenses,Other,1,0.00,
283,28/11/2013,Expenses,Food,1,31.59,
284,28/11/2013,Expenses,Other,1,216.26,
285,29/11/2013,Debt selling,,0.0,20000.00,d0
286,01/12/2013,Income,,1,3500.00,
287,01/12/2013,Income,,1,0.00,
288,01/12/2013,Expenses,Housing,1,1700.00,
289,01/12/2013,Expenses,Food,1,0.00,
290,01/12/2013,Expenses,Utilities,1,300.00,
291,01/12/2013,Expenses,Health,1,0.00,
292,01/12/2013,Expenses,Shopping,1,0.00,
293,01/12/2013,Expenses,Leisure,1,0.00,
294,01/12/2013,Expenses,Other,1,0.00,
295,01/12/2013,Debt selling,,0.01,20000.00,d0
296,01/12/2013,Asset expenses,,1,166.00,d0
297,03/12/2013,Expenses,Leisure,1,869.05,
298,04/12/2013,Expenses,Shopping,1,0.00,
299,08/12/2013,Expenses,Food,1,31.64,
300,13/12/2013,Expenses,Food,1,31.54,
301,16/12/2013,Expenses,Food,1,31.45,
302,16/12/2013,Expenses,Leisure,1,0.00,
303,17/12/2013,Expenses,Food,1,31.35,
304,19/12/2013,Expenses,Health,1,150.72,
305,19/12/2013,Expenses,Other,1,89.01,
306,20/12/2013,Expenses,Food,1,30.54,
307,20/12/2013,Expenses,Health,1,20.91,
308,23/12/2013,Expenses,Food,1,30.39,
309,24/12/2013,Expenses,Food,1,30.29,
310,27/12/2013,Expenses,Shopping,1,0.00,
311,31/12/2013,Expenses,Food,1,30.20,
312,01/01/2014,Income,,1,3500.00,
313,01/01/2014,Income,,1,0.00,
314,01/01/2014,Expenses,Housing,1,1700.00,
315,01/01/2014,Expenses,Food,1,0.00,
316,01/01/2014,Expenses,Utilities,1,300.00,
317,01/01/2014,Expenses,Health,1,0.00,
318,01/01/2014,Expenses,Shopping,1,0.00,
319,01/01/2014,Expenses,Leisure,1,0.00,
320,01/01/2014,Expenses,Other,1,0.00,
321,01/01/2014,Debt selling,,0.01,20000.00,d0
322,01/01/2014,Asset expenses,,1,164.00,d0
323,04/01/2014,Expenses,Utilities,1,92.69,
324,06/01/2014,Expenses,Utilities,1,37.59,
325,10/01/2014,Debt selling,,0.01,20000.00,d0
326,13/01/2014,Expenses,Food,1,32.52,
327,15/01/2014,Expenses,Housing,1,123.02,
328,15/01/2014,Expenses,Food,1,32.43,
329,20/01/2014,Expenses,Food,1,31.95,
330,22/01/2014,Expenses,Leisure,1,16.88,
331,28/01/2014,Expenses,Other,1,289.78,
332,01/02/2014,Income,,1,3500.00,
333,01/02/2014,Income,,1,0.00,
334,01/02/2014,Expenses,Housing,1,1700.00,
335,01/02/2014,Expenses,Food,1,0.00,
336,01/02/2014,Expenses,Utilities,1,300.00,
337,01/02/2014,Expenses,Health,1,0.00,
338,01/02/2014,Expenses,Shopping,1,0.00,
339,01/02/2014,Expenses,Leisure,1,0.00,
340,01/02/2014,Expenses,Other,1,0.00,
341,01/02/2014,Debt selling,,0.01,20000.00,d0
342,01/02/2014,Asset expenses,,1,160.00,d0
343,04/02/2014,Expenses,Housing,1,157.40,
344,05/02/2014,Expenses,Food,1,33.86,
345,05/02/2014,Debt selling,,0.01,20000.00,d0
346,09/02/2014,Expenses,Food,1,33.16,
347,12/02/2014,Expenses,Leisure,1,372.33,
348,13/02/2014,Expenses,Food,1,31.94,
349,14/02/2014,Expenses,Food,1,31.84,
350,15/02/2014,Debt selling,,0.01,20000.00,d0
351,22/02/2014,Expenses,Food,1,31.15,
352,24/02/2014,Expenses,Food,1,31.07,
353,26/02/2014,Expenses,Health,1,46.47,
354,26/02/2014,Expenses,Other,1,250.27,
355,28/02/2014,Expenses,Health,1,53.13,
356,01/03/2014,Income,,1,3500.00,
357,01/03/2014,Income,,1,0.00,
358,01/03/2014,Expenses,Housing,1,1700.00,
359,01/03/2014,Expenses,Food,1,0.00,
360,01/03/2014,Expenses,Utilities,1,300.00,
361,01/03/2014,Expenses,Health,1,0.00,
362,01/03/2014,Expenses,Shopping,1,0.00,
363,01/03/2014,Expenses,Leisure,1,0.00,
364,01/03/2014,Expenses,Other,1,0.00,
365,01/03/2014,Debt selling,,0.01,20000.00,d0
366,01/03/2014,Asset expenses,,1,154.00,d0
367,04/03/2014,Expenses,Food,1,33.36,
368,06/03/2014,Expenses,Food,1,33.26,
369,09/03/2014,Expenses,Other,1,298.26,
370,13/03/2014,Expenses,Leisure,1,0.00,
371,14/03/2014,Expenses,Food,1,32.27,
372,14/03/2014,Expenses,Health,1,107.68,
373,18/03/2014,Expenses,Food,1,31.85,
374,19/03/2014,Expenses,Food,1,31.75,
375,19/03/2014,Expenses,Utilities,1,51.75,
376,20/03/2014,Expenses,Food,1,31.50,
377,20/03/2014,Expenses,Utilities,1,85.96,
378,24/03/2014,Expenses,Food,1,31.13,
379,25/03/2014,Expenses,Other,1,92.11,
380,27/03/2014,Expenses,Leisure,1,330.62,
381,28/03/2014,Expenses,Food,1,29.77,
382,01/04/2014,Income,,1,3500.00,
383,01/04/2014,Income,,1,0.00,
384,01/04/2014,Expenses,Housing,1,1700.00,
385,01/04/2014,Expenses,Food,1,0.00,
386,01/04/2014,Expenses,Utilities,1,300.00,
387,01/04/2014,Expenses,Health,1,0.00,
388,01/04/2014,Expenses,Shopping,1,0.00,
389,01/04/2014,Expenses,Leisure,1,0.00,
390,01/04/2014,Expenses,Other,1,0.00,
391,01/04/2014,Expenses,Food,1,34.18,
392,01/04/2014,Debt selling,,0.01,20000.00,d0
393,01/04/2014,Asset expenses,,1,152.00,d0
394,02/04/2014,Expenses,Food,1,33.04,
395,04/04/2014,Expenses,Food,1,32.95,
396,06/04/2014,Expenses,Food,1,32.85,
397,09/04/2014,Expenses,Food,1,32.74,
398,11/04/2014,Expenses,Utilities,1,21.34,
399,13/04/2014,Expenses,Food,1,32.57,
400,19/04/2014,Income,,1,342.40,
401,21/04/2014,Expenses,Utilities,1,81.58,
402,21/04/2014,Expenses,Other,1,135.83,
403,22/04/2014,Expenses,Food,1,32.85,
404,22/04/2014,Expenses,Shopping,1,0.00,
405,23/04/2014,Expenses,Health,1,84.44,
406,25/04/2014,Debt selling,,0.01,20000.00,d0
407,30/04/2014,Expenses,Food,1,31.90,
408,30/04/2014,Expenses,Health,1,123.48,
409,01/05/2014,Income,,1,3500.00,
410,01/05/2014,Income,,1,0.00,
411,01/05/2014,Expenses,Housing,1,1700.00,
412,01/05/2014,Expenses,Food,1,0.00,
413,01/05/2014,Expenses,Utilities,1,300.00,
414,01/05/2014,Expenses,Health,1,0.00,
415,01/05/2014,Expenses,Shopping,1,0.00,
416,01/05/2014,Expenses,Leisure,1,0.00,
417,01/05/2014,Expenses,Other,1,0.00,
418,01/05/2014,Debt selling,,0.01,20000.00,d0
419,01/05/2014,Asset expenses,,1,148.00,d0
420,03/05/2014,Expenses,Food,1,34.89,
421,03/05/2014,Expenses,Utilities,1,38.61,
422,04/05/2014,Expenses,Food,1,34.67,
423,06/05/2014,Expenses,Health,1,3.76,
424,06/05/2014,Expenses,Other,1,82.88,
425,07/05/2014,Expenses,Other,1,269.54,
426,09/05/2014,Expenses,Food,1,33.50,
427,09/05/2014,Expenses,Other,1,147.06,
428,10/05/2014,Expenses,Food,1,32.95,
429,16/05/2014,Expenses,Health,1,15.13,
430,17/05/2014,Expenses,Food,1,32.84,
431,18/05/2014,Expenses,Food,1,32.74,
432,22/05/2014,Expenses,Food,1,32.64,
433,23/05/2014,Expenses,Food,1,32.54,
434,24/05/2014,Expenses,Food,1,32.44,
435,01/06/2014,Income,,1,3500.00,
436,01/06/2014,Income,,1,0.00,
437,01/06/2014,Expenses,Housing,1,1700.00,
438,01/06/2014,Expenses,Food,1,0.00,
439,01/06/2014,Expenses,Utilities,1,300.00,
440,01/06/2014,Expenses,Health,1,0.00,
441,01/06/2014,Expenses,Shopping,1,0.00,
442,01/06/2014,Expenses,Leisure,1,0.00,
443,01/06/2014,Expenses,Other,1,0.00,
444,01/06/2014,Debt selling,,0.01,20000.00,d0
445,01/06/2014,Asset expenses,,1,146.00,d0
446,08/06/2014,Expenses,Shopping,1,0.00,
447,10/06/2014,Expenses,Food,1,35.81,
448,10/06/2014,Expenses,Leisure,1,0.00,
449,11/06/2014,Expenses,Food,1,35.70,
450,17/06/2014,Expenses,Food,1,35.60,
451,18/06/2014,Expenses,Shopping,1,0.00,
452,19/06/2014,Expenses,Other,1,249.26,
453,20/06/2014,Expenses,Food,1,34.74,
454,22/06/2014,Expenses,Food,1,34.64,
455,24/06/2014,Expenses,Food,1,34.53,
456,26/06/2014,Savings selling,,0,543.94,a0
457,27/06/2014,Expenses,Food,1,34.43,
458,28/06/2014,Expenses,Leisure,1,162.32,
459,29/06/2014,Expenses,Leisure,1,516.47,
460,01/07/2014,Income,,1,3500.00,
461,01/07/2014,Income,,1,0.00,
462,01/07/2014,Expenses,Housing,1,1700.00,
463,01/07/2014,Expenses,Food,1,0.00,
464,01/07/2014,Expenses,Utilities,1,300.00,
465,01/07/2014,Expenses,Health,1,0.00,
466,01/07/2014,Expenses,Shopping,1,0.00,
467,01/07/2014,Expenses,Leisure,1,0.00,
468,01/07/2014,Expenses,Other,1,0.00,
469,01/07/2014,Debt selling,,0.01,20000.00,d0
470,01/07/2014,Asset expenses,,1,144.00,d0
471,02/07/2014,Expenses,Food,1,35.76,
472,04/07/2014,Expenses,Food,1,35.65,
473,04/07/2014,Debt selling,,0.01,20000.00,d0
474,04/07/2014,Savings selling,,0,552.45,a2
475,05/07/2014,Expenses,Food,1,34.95,
476,05/07/2014,Expenses,Shopping,1,0.00,
477,10/07/2014,Expenses,Food,1,34.84,
478,16/07/2014,Expenses,Housing,1,99.78,
479,21/07/2014,Expenses,Food,1,34.44,
480,24/07/2014,Expenses,Leisure,1,0.00,
481,25/07/2014,Expenses,Leisure,1,138.92,
482,28/07/2014,Income,,1,310.03,
483,30/07/2014,Expenses,Leisure,1,0.00,
484,31/07/2014,Expenses,Leisure,1,0.00,
485,01/08/2014,Income,,1,3500.00,
486,01/08/2014,Income,,1,0.00,
487,01/08/2014,Expenses,Housing,1,1700.00,
488,01/08/2014,Expenses,Food,1,0.00,
489,01/08/2014,Expenses,Utilities,1,300.00,
490,01/08/2014,Expenses,Health,1,0.00,
491,01/08/2014,Expenses,Shopping,1,0.00,
492,01/08/2014,Expenses,Leisure,1,0.00,
493,01/08/2014,Expenses,Other,1,0.00,
494,01/08/2014,Debt selling,,0.01,20000.00,d0
495,01/08/2014,Asset expenses,,1,140.00,d0
496,02/08/2014,Expenses,Food,1,38.31,
497,08/08/2014,Expenses,Food,1,38.18,
498,08/08/2014,Expenses,Shopping,1,0.00,
499,12/08/2014,Expenses,Shopping,1,10.46,
500,14/08/2014,Income,,1,0.00,
501,17/08/2014,Expenses,Food,1,38.03,
502,19/08/2014,Expenses,Food,1,37.92,
503,19/08/2014,Expenses,Health,1,156.17,
504,23/08/2014,Expenses,Food,1,37.33,
505,28/08/2014,Expenses,Shopping,1,0.00,
506,29/08/2014,Expenses,Health,1,72.32,
507,01/09/2014,Income,,1,3500.00,
508,01/09/2014,Income,,1,0.00,
509,01/09/2014,Expenses,Housing,1,1700.00,
510,01/09/2014,Expenses,Food,1,0.00,
511,01/09/2014,Expenses,Utilities,1,300.00,
512,01/09/2014,Expenses,Health,1,0.00,
513,01/09/2014,Expenses,Shopping,1,0.00,
514,01/09/2014,Expenses,Leisure,1,0.00,
515,01/09/2014,Expenses,Other,1,0.00,
516,01/09/2014,Expenses,Food,1,41.51,
517,01/09/2014,Debt selling,,0.01,20000.00,d0
518,01/09/2014,Asset expenses,,1,138.00,d0
519,02/09/2014,Expenses,Food,1,40.37,
520,03/09/2014,Expenses,Health,1,0.00,
521,04/09/2014,Expenses,Food,1,40.25,
522,05/09/2014,Expenses,Food,1,40.12,
523,05/09/2014,Expenses,Leisure,1,0.00,
524,13/09/2014,Expenses,Food,1,40.00,
525,15/09/2014,Expenses,Food,1,39.88,
526,16/09/2014,Expenses,Other,1,159.41,
527,19/09/2014,Expenses,Food,1,39.29,
528,19/09/2014,Debt selling,,0.01,20000.00,d0
529,21/09/2014,Income,,1,0.00,
530,21/09/2014,Expenses,Food,1,38.57,
531,24/09/2014,Expenses,Food,1,38.45,
532,25/09/2014,Expenses,Food,1,38.34,
533,27/09/2014,Expenses,Food,1,38.22,
534,01/10/2014,Income,,1,3500.00,
535,01/10/2014,Income,,1,0.00,
536,01/10/2014,Expenses,Housing,1,1700.00,
537,01/10/2014,Expenses,Food,1,0.00,
538,01/10/2014,Expenses,Utilities,1,300.00,
539,01/10/2014,Expenses,Health,1,0.00,
540,01/10/2014,Expenses,Shopping,1,0.00,
541,01/10/2014,Expenses,Leisure,1,0.00,
542,01/10/2014,Expenses,Other,1,0.00,
543,01/10/2014,Expenses,Food,1,42.61,
544,01/10/2014,Debt selling,,0.01,20000.00,d0
545,01/10/2014,Asset expenses,,1,134.00,d0
546,03/10/2014,Expenses,Food,1,41.48,
547,06/10/2014,Expenses,Housing,1,180.69,
548,09/10/2014,Expenses,Food,1,40.81,
549,09/10/2014,Expenses,Other,1,113.76,
550,17/10/2014,Expenses,Food,1,40.35,
551,20/10/2014,Debt selling,,0.01,20000.00,d0
552,22/10/2014,Expenses,Food,1,39.63,
553,24/10/2014,Expenses,Other,1,172.98,
554,01/11/2014,Income,,1,3500.00,
555,01/11/2014,Income,,1,0.00,
556,01/11/2014,Expenses,Housing,1,1700.00,
557,01/11/2014,Expenses,Food,1,0.00,
558,01/11/2014,Expenses,Utilities,1,300.00,
559,01/11/2014,Expenses,Health,1,0.00,
560,01/11/2014,Expenses,Shopping,1,0.00,
561,01/11/2014,Expenses,Leisure,1,0.00,
562,01/11/2014,Expenses,Other,1,0.00,
563,01/11/2014,Debt selling,,0.01,20000.00,d0
564,01/11/2014,Asset expenses,,1,130.00,d0
565,02/11/2014,Expenses,Food,1,42.50,
566,03/11/2014,Expenses,Food,1,42.37,
567,03/11/2014,Expenses,Health,1,54.21,
568,05/11/2014,Expenses,Food,1,42.08,
